"8.337","11.73","-3"
"8.337","12.73","-3"
"8.337","10.73","-3"
"6.337","16.73","-3"
"6.337","15.73","-3"
"7.337","16.73","-3"
"7.337","15.73","-3"
"7.337","13.73","-3"
"7.337","14.73","-3"
"6.337","13.73","-3"
"6.337","14.73","-3"
"7.337","11.73","-3"
"7.337","12.73","-3"
"6.337","11.73","-3"
"6.337","12.73","-3"
"7.337","9.734","-3"
"7.337","10.73","-3"
"4.337","12.73","-3"
"5.337","12.73","-3"
"5.337","11.73","-3"
"4.337","14.73","-3"
"4.337","13.73","-3"
"5.337","14.73","-3"
"5.337","13.73","-3"
"5.337","15.73","-3"
"5.337","16.73","-3"
"4.337","15.73","-3"
"4.337","16.73","-3"
"8.337","-0.2662","-3"
"9.337","-2.266","-3"
"9.337","-1.266","-3"
"8.337","-2.266","-3"
"8.337","-1.266","-3"
"7.337","-2.266","-3"
"7.337","-1.266","-3"
"6.337","-2.266","-3"
"6.337","-1.266","-3"
"5.337","-2.266","-3"
"8.337","-3.266","-3"
"9.337","-3.266","-3"
"9.337","-4.266","-3"
"7.337","-3.266","-3"
"-4.663","23.73","-3"
"-5.663","23.73","-3"
"-4.663","21.73","-3"
"-4.663","22.73","-3"
"-5.663","21.73","-3"
"-5.663","22.73","-3"
"-4.663","19.73","-3"
"-4.663","20.73","-3"
"-5.663","19.73","-3"
"-5.663","20.73","-3"
"-4.663","17.73","-3"
"-4.663","18.73","-3"
"-5.663","18.73","-3"
"-3.663","18.73","-3"
"-3.663","17.73","-3"
"-2.663","18.73","-3"
"-2.663","17.73","-3"
"-3.663","20.73","-3"
"-3.663","19.73","-3"
"-2.663","20.73","-3"
"-2.663","19.73","-3"
"-3.663","22.73","-3"
"-3.663","21.73","-3"
"-2.663","22.73","-3"
"-2.663","21.73","-3"
"-1.663","18.73","-3"
"-1.663","17.73","-3"
"-0.6628","18.73","-3"
"-0.6628","17.73","-3"
"-1.663","20.73","-3"
"-1.663","19.73","-3"
"-0.6628","20.73","-3"
"-0.6628","19.73","-3"
"-1.663","21.73","-3"
"-0.6628","21.73","-3"
"0.3372","18.73","-3"
"0.3372","17.73","-3"
"1.337","18.73","-3"
"1.337","17.73","-3"
"0.3372","20.73","-3"
"0.3372","19.73","-3"
"1.337","20.73","-3"
"1.337","19.73","-3"
"2.337","18.73","-3"
"2.337","17.73","-3"
"3.337","18.73","-3"
"3.337","17.73","-3"
"2.337","19.73","-3"
"3.337","19.73","-3"
"2.337","16.73","-3"
"2.337","15.73","-3"
"3.337","16.73","-3"
"3.337","15.73","-3"
"3.337","13.73","-3"
"3.337","14.73","-3"
"2.337","13.73","-3"
"2.337","14.73","-3"
"3.337","12.73","-3"
"0.3372","16.73","-3"
"0.3372","15.73","-3"
"1.337","16.73","-3"
"1.337","15.73","-3"
"1.337","13.73","-3"
"1.337","14.73","-3"
"0.3372","14.73","-3"
