"-3.426","10.79","-3","0.35"
"-3.426","-11.1","-3","0.35"
"-2.367","-10.49","-3","0.35"
"-1.308","-9.881","-3","0.35"
"-0.2491","-9.27","-3","0.35"
"0.81","-8.658","-3","0.35"
"1.869","-8.047","-3","0.35"
"2.928","-7.435","-3","0.35"
"3.987","-6.824","-3","0.35"
"5.046","-6.212","-3","0.35"
"6.105","-5.601","-3","0.35"
"6.403","-4.378","-3","0.35"
"5.344","-3.766","-3","0.35"
"4.284","-3.155","-3","0.35"
"2.166","-3.327","-3","0.35"
"1.107","-3.938","-3","0.35"
"0.04819","-4.55","-3","0.35"
"-1.011","-5.161","-3","0.35"
"-2.07","-5.772","-3","0.35"
"-3.426","-7.435","-3","0.35"
"-3.426","-8.658","-3","0.35"
"-3.426","-9.881","-3","0.35"
"-2.369","10.18","-3","0.35"
"-1.311","9.567","-3","0.35"
"-0.2535","8.956","-3","0.35"
"0.8041","8.346","-3","0.35"
"3.977","7.231","-3","0.35"
"5.034","7.841","-3","0.35"
"6.092","8.452","-3","0.35"
"6.383","9.673","-3","0.35"
"5.326","10.28","-3","0.35"
"4.268","10.89","-3","0.35"
"3.211","11.5","-3","0.35"
"2.153","12.12","-3","0.35"
"1.095","12.73","-3","0.35"
"0.03785","13.34","-3","0.35"
"-1.02","13.95","-3","0.35"
"-2.077","14.56","-3","0.35"
"-3.135","15.17","-3","0.35"
"-3.426","14.45","-3","0.35"
"-3.426","13.23","-3","0.35"
"-3.426","12.01","-3","0.35"
"6.337","8.734","-3","0.35"
"4.337","8.734","-3","0.35"
"4.337","7.734","-3","0.35"
"5.337","8.734","-3","0.35"
"4.337","10.73","-3","0.35"
"4.337","9.734","-3","0.35"
"5.337","9.734","-3","0.35"
"6.337","-5.266","-3","0.35"
"4.337","-5.266","-3","0.35"
"4.337","-6.266","-3","0.35"
"5.337","-5.266","-3","0.35"
"5.337","-4.266","-3","0.35"
"4.337","-4.266","-3","0.35"
"2.337","11.73","-3","0.35"
"3.337","9.734","-3","0.35"
"3.337","10.73","-3","0.35"
"2.337","9.734","-3","0.35"
"2.337","10.73","-3","0.35"
"3.337","7.734","-3","0.35"
"3.337","8.734","-3","0.35"
"2.337","7.734","-3","0.35"
"2.337","8.734","-3","0.35"
"1.337","11.73","-3","0.35"
"0.3372","11.73","-3","0.35"
"0.3372","12.73","-3","0.35"
"1.337","9.734","-3","0.35"
"1.337","10.73","-3","0.35"
"0.3372","9.734","-3","0.35"
"0.3372","10.73","-3","0.35"
"1.337","8.734","-3","0.35"
"0.3372","8.734","-3","0.35"
"-0.6628","13.73","-3","0.35"
"-1.663","13.73","-3","0.35"
"-0.6628","11.73","-3","0.35"
"-0.6628","12.73","-3","0.35"
"-1.663","11.73","-3","0.35"
"-1.663","12.73","-3","0.35"
"-0.6628","9.734","-3","0.35"
