"7.383","-0.3131","-2","0.4"
"8.337","0.3649","-2","0.4"
"9.959","-1.621","-2","0.4"
"10.13","-2.779","-2","0.4"
"10.16","-3.949","-2","0.4"
"9.413","-4.999","-2","0.4"
"8.398","-4.414","-2","0.4"
"7.384","-3.828","-2","0.4"
"6.37","-3.242","-2","0.4"
"5.355","-2.657","-2","0.4"
"-0.6983","8.097","-2","0.4"
"0.341","7.497","-2","0.4"
"1.38","6.897","-2","0.4"
"2.359","6.297","-2","0.4"
"1.32","5.697","-2","0.4"
"0.2806","5.097","-2","0.4"
"-0.7587","4.496","-2","0.4"
"9.337","-0.2662","-2","0.4"
"8.337","-0.2662","-2","0.4"
"9.337","-2.266","-2","0.4"
"9.337","-1.266","-2","0.4"
"8.337","-2.266","-2","0.4"
"8.337","-1.266","-2","0.4"
"7.337","-2.266","-2","0.4"
"7.337","-1.266","-2","0.4"
"6.337","-2.266","-2","0.4"
"6.337","-1.266","-2","0.4"
"5.337","-2.266","-2","0.4"
"8.337","-3.266","-2","0.4"
"9.337","-3.266","-2","0.4"
"9.337","-4.266","-2","0.4"
"7.337","-3.266","-2","0.4"
"-0.6628","7.734","-2","0.4"
"-1.663","7.734","-2","0.4"
"0.3372","6.734","-2","0.4"
"0.3372","5.734","-2","0.4"
"1.337","6.734","-2","0.4"
"1.337","5.734","-2","0.4"
"-1.663","6.734","-2","0.4"
"-1.663","5.734","-2","0.4"
"-0.6628","6.734","-2","0.4"
"-0.6628","5.734","-2","0.4"
"-0.6628","4.734","-2","0.4"
"-1.663","4.734","-2","0.4"
"10.16","-5.43","-2","0.4"
"8.907","0.8892","-2","0.4"
"9.46","-0.0965","-2","0.4"
"4.341","-2.071","-1","0.4"
"5.355","-1.486","-1","0.4"
"6.37","-0.8999","-1","0.4"
"7.383","-0.3131","-1","0.4"
"8.337","0.3649","-1","0.4"
"9.959","-1.621","-1","0.4"
"10.13","-2.779","-1","0.4"
"10.16","-3.949","-1","0.4"
"9.413","-4.999","-1","0.4"
"8.398","-4.414","-1","0.4"
"7.384","-3.828","-1","0.4"
"6.37","-3.242","-1","0.4"
"5.355","-2.657","-1","0.4"
"-0.6983","8.097","-1","0.4"
"0.341","7.497","-1","0.4"
"1.38","6.897","-1","0.4"
"2.359","6.297","-1","0.4"
"1.32","5.697","-1","0.4"
"0.2806","5.097","-1","0.4"
"-0.7587","4.496","-1","0.4"
"9.337","-0.2662","-1","0.4"
"8.337","-0.2662","-1","0.4"
"9.337","-2.266","-1","0.4"
"9.337","-1.266","-1","0.4"
"8.337","-2.266","-1","0.4"
"8.337","-1.266","-1","0.4"
"7.337","-2.266","-1","0.4"
"7.337","-1.266","-1","0.4"
"6.337","-2.266","-1","0.4"
"6.337","-1.266","-1","0.4"
"5.337","-2.266","-1","0.4"
"8.337","-3.266","-1","0.4"
"9.337","-3.266","-1","0.4"
"9.337","-4.266","-1","0.4"
"7.337","-3.266","-1","0.4"
"-0.6628","7.734","-1","0.4"
"-1.663","7.734","-1","0.4"
"0.3372","6.734","-1","0.4"
"0.3372","5.734","-1","0.4"
"1.337","6.734","-1","0.4"
"1.337","5.734","-1","0.4"
"-1.663","6.734","-1","0.4"
"-1.663","5.734","-1","0.4"
"-0.6628","6.734","-1","0.4"
"-0.6628","5.734","-1","0.4"
"-0.6628","4.734","-1","0.4"
"-1.663","4.734","-1","0.4"
"10.16","-5.43","-1","0.4"
"8.907","0.8892","-1","0.4"
"9.46","-0.0965","-1","0.4"
"4.341","-2.071","3","0.4"
"5.355","-1.486","3","0.4"
"6.37","-0.8999","3","0.4"
"7.383","-0.3131","3","0.4"
"8.337","0.3649","3","0.4"
"9.959","-1.621","3","0.4"
"10.13","-2.779","3","0.4"
"10.16","-3.949","3","0.4"
"9.413","-4.999","3","0.4"
"8.398","-4.414","3","0.4"
"7.384","-3.828","3","0.4"
"6.37","-3.242","3","0.4"
"5.355","-2.657","3","0.4"
"-0.6983","8.097","3","0.4"
"0.341","7.497","3","0.4"
"1.38","6.897","3","0.4"
"2.359","6.297","3","0.4"
"1.32","5.697","3","0.4"
"0.2806","5.097","3","0.4"
"-0.7587","4.496","3","0.4"
"9.337","-0.2662","3","0.4"
"8.337","-0.2662","3","0.4"
"9.337","-2.266","3","0.4"
"9.337","-1.266","3","0.4"
"8.337","-2.266","3","0.4"
"8.337","-1.266","3","0.4"
"7.337","-2.266","3","0.4"
"7.337","-1.266","3","0.4"
"6.337","-2.266","3","0.4"
"6.337","-1.266","3","0.4"
"5.337","-2.266","3","0.4"
"8.337","-3.266","3","0.4"
"9.337","-3.266","3","0.4"
"9.337","-4.266","3","0.4"
"7.337","-3.266","3","0.4"
"-0.6628","7.734","3","0.4"
"-1.663","7.734","3","0.4"
"0.3372","6.734","3","0.4"
"0.3372","5.734","3","0.4"
"1.337","6.734","3","0.4"
"1.337","5.734","3","0.4"
"-1.663","6.734","3","0.4"
"-1.663","5.734","3","0.4"
"-0.6628","6.734","3","0.4"
"-0.6628","5.734","3","0.4"
"-0.6628","4.734","3","0.4"
"-1.663","4.734","3","0.4"
"10.16","-5.43","3","0.4"
"8.907","0.8892","3","0.4"
"9.46","-0.0965","3","0.4"
"4.341","-2.071","2","0.4"
"5.355","-1.486","2","0.4"
"6.37","-0.8999","2","0.4"
"7.383","-0.3131","2","0.4"
"8.337","0.3649","2","0.4"
"9.959","-1.621","2","0.4"
"10.13","-2.779","2","0.4"
"10.16","-3.949","2","0.4"
"9.413","-4.999","2","0.4"
"8.398","-4.414","2","0.4"
"7.384","-3.828","2","0.4"
"6.37","-3.242","2","0.4"
"5.355","-2.657","2","0.4"
"-0.6983","8.097","2","0.4"
"0.341","7.497","2","0.4"
"1.38","6.897","2","0.4"
"2.359","6.297","2","0.4"
"1.32","5.697","2","0.4"
"0.2806","5.097","2","0.4"
"-0.7587","4.496","2","0.4"
"9.337","-0.2662","2","0.4"
"8.337","-0.2662","2","0.4"
"9.337","-2.266","2","0.4"
"9.337","-1.266","2","0.4"
"8.337","-2.266","2","0.4"
"8.337","-1.266","2","0.4"
"7.337","-2.266","2","0.4"
"7.337","-1.266","2","0.4"
"6.337","-2.266","2","0.4"
"6.337","-1.266","2","0.4"
"5.337","-2.266","2","0.4"
"8.337","-3.266","2","0.4"
"9.337","-3.266","2","0.4"
"9.337","-4.266","2","0.4"
"7.337","-3.266","2","0.4"
"-0.6628","7.734","2","0.4"
"-1.663","7.734","2","0.4"
"0.3372","6.734","2","0.4"
"0.3372","5.734","2","0.4"
"1.337","6.734","2","0.4"
"1.337","5.734","2","0.4"
"-1.663","6.734","2","0.4"
"-1.663","5.734","2","0.4"
"-0.6628","6.734","2","0.4"
"-0.6628","5.734","2","0.4"
"-0.6628","4.734","2","0.4"
"-1.663","4.734","2","0.4"
"10.16","-5.43","2","0.4"
"8.907","0.8892","2","0.4"
"9.46","-0.0965","2","0.4"
"4.341","-2.071","1","0.4"
"5.355","-1.486","1","0.4"
"6.37","-0.8999","1","0.4"
"7.383","-0.3131","1","0.4"
"8.337","0.3649","1","0.4"
"9.959","-1.621","1","0.4"
"10.13","-2.779","1","0.4"
"10.16","-3.949","1","0.4"
"9.413","-4.999","1","0.4"
"8.398","-4.414","1","0.4"
"7.384","-3.828","1","0.4"
"6.37","-3.242","1","0.4"
"5.355","-2.657","1","0.4"
"-0.6983","8.097","1","0.4"
"0.341","7.497","1","0.4"
"1.38","6.897","1","0.4"
"2.359","6.297","1","0.4"
"1.32","5.697","1","0.4"
"0.2806","5.097","1","0.4"
"-0.7587","4.496","1","0.4"
"9.337","-0.2662","1","0.4"
"8.337","-0.2662","1","0.4"
"9.337","-2.266","1","0.4"
"9.337","-1.266","1","0.4"
"8.337","-2.266","1","0.4"
"8.337","-1.266","1","0.4"
"7.337","-2.266","1","0.4"
"7.337","-1.266","1","0.4"
"6.337","-2.266","1","0.4"
"6.337","-1.266","1","0.4"
"5.337","-2.266","1","0.4"
"8.337","-3.266","1","0.4"
"9.337","-3.266","1","0.4"
"9.337","-4.266","1","0.4"
"7.337","-3.266","1","0.4"
"-0.6628","7.734","1","0.4"
"-1.663","7.734","1","0.4"
"0.3372","6.734","1","0.4"
"0.3372","5.734","1","0.4"
"1.337","6.734","1","0.4"
"1.337","5.734","1","0.4"
"-1.663","6.734","1","0.4"
"-1.663","5.734","1","0.4"
"-0.6628","6.734","1","0.4"
"-0.6628","5.734","1","0.4"
"-0.6628","4.734","1","0.4"
"-1.663","4.734","1","0.4"
"10.16","-5.43","1","0.4"
"8.907","0.8892","1","0.4"
"9.46","-0.0965","1","0.4"
"9.46","-0.0965","0","0.4"
"8.907","0.8892","0","0.4"
"10.16","-5.43","0","0.4"
"-1.663","4.734","0","0.4"
"-0.6628","4.734","0","0.4"
"-0.6628","5.734","0","0.4"
"-0.6628","6.734","0","0.4"
"-1.663","5.734","0","0.4"
"-1.663","6.734","0","0.4"
"1.337","5.734","0","0.4"
"1.337","6.734","0","0.4"
"0.3372","5.734","0","0.4"
"0.3372","6.734","0","0.4"
"-1.663","7.734","0","0.4"
"-0.6628","7.734","0","0.4"
"7.337","-3.266","0","0.4"
"9.337","-4.266","0","0.4"
"9.337","-3.266","0","0.4"
"8.337","-3.266","0","0.4"
"5.337","-2.266","0","0.4"
"6.337","-1.266","0","0.4"
"6.337","-2.266","0","0.4"
"7.337","-1.266","0","0.4"
"7.337","-2.266","0","0.4"
"8.337","-1.266","0","0.4"
"8.337","-2.266","0","0.4"
"9.337","-1.266","0","0.4"
"9.337","-2.266","0","0.4"
"8.337","-0.2662","0","0.4"
"9.337","-0.2662","0","0.4"
"-0.7587","4.496","0","0.4"
"0.2806","5.097","0","0.4"
"1.32","5.697","0","0.4"
"2.359","6.297","0","0.4"
"1.38","6.897","0","0.4"
"0.341","7.497","0","0.4"
"-0.6983","8.097","0","0.4"
"5.355","-2.657","0","0.4"
"6.37","-3.242","0","0.4"
"7.384","-3.828","0","0.4"
"8.398","-4.414","0","0.4"
"9.413","-4.999","0","0.4"
"10.16","-3.949","0","0.4"
"10.13","-2.779","0","0.4"
"9.959","-1.621","0","0.4"
"8.337","0.3649","0","0.4"
"7.383","-0.3131","0","0.4"
"6.37","-0.8999","0","0.4"
"5.355","-1.486","0","0.4"
"4.341","-2.071","0","0.4"
